run_id,use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent
1,1,1,1,1,1,0,0,31,15,131.546284,86.305018,85.306922,12.414,12.9526,2298,411,87.1800
2,1,1,1,1,1,0,0,31,15,131.582669,86.261982,85.323604,12.5949,12.987,2296,434,87.0985
3,1,1,1,1,1,0,0,31,15,131.717985,85.992357,85.871660,12.4367,12.9398,2297,447,87.1208
1,1,1,1,1,1,0,0,31,31,131.602496,86.292872,85.321708,12.5856,13.0359,2294,458,86.9600
2,1,1,1,1,1,0,0,31,31,131.605388,86.218564,85.246162,12.6377,13.0287,2296,428,86.6685
3,1,1,1,1,1,0,0,31,31,131.544643,86.368523,85.367569,12.5858,12.9471,2294,450,87.0785
1,1,1,1,1,1,0,15,0,0,78.239250,127.529404,126.753606,13.3581,13.0736,2295,450,93.2977
2,1,1,1,1,1,0,15,0,0,78.223603,127.169231,127.203151,13.1829,13.1991,2295,408,93.2217
3,1,1,1,1,1,0,15,0,0,78.196999,127.482882,126.479328,12.9754,13.0607,2290,387,93.3083
1,1,1,1,1,1,0,15,0,15,71.972166,130.830637,71.632616,12.5387,12.9224,2295,437,88.6523
2,1,1,1,1,1,0,15,0,15,71.901089,130.648181,71.610302,12.6026,13.0337,2293,433,88.6431
3,1,1,1,1,1,0,15,0,15,71.983440,130.735537,71.642642,12.9191,13.0146,2289,515,88.5269
1,1,1,1,1,1,0,15,0,31,71.894821,130.751670,71.697353,12.6802,13.0202,2293,405,88.7677
2,1,1,1,1,1,0,15,0,31,72.440892,130.714626,72.105166,13.224,13.1237,2291,432,88.7800
3,1,1,1,1,1,0,15,0,31,71.910835,130.626327,71.490658,12.8509,13.0517,2297,429,88.5962
1,1,1,1,1,1,0,15,15,0,83.985284,85.009959,128.346011,12.917,13.0753,2284,405,89.3238
2,1,1,1,1,1,0,15,15,0,84.316613,84.216671,128.423981,13.0346,13.1601,2299,420,89.0915
3,1,1,1,1,1,0,15,15,0,84.235558,84.334149,128.366262,13.0435,12.9976,2290,423,89.1308
1,1,1,1,1,1,0,15,15,15,127.062039,126.540971,126.715447,13.9127,13.188,2298,431,93.1825
2,1,1,1,1,1,0,15,15,15,126.930587,126.393442,126.701981,13.347,13.0155,2298,444,93.1933
3,1,1,1,1,1,0,15,15,15,127.000130,126.562110,126.669307,13.4737,13.1193,2291,421,93.1650
1,1,1,1,1,1,0,15,15,31,125.949348,127.085762,78.432540,13.2834,13.1108,2294,424,92.7883
2,1,1,1,1,1,0,15,15,31,126.740034,126.660539,78.944037,13.514,13.2098,2293,410,93.1675
3,1,1,1,1,1,0,15,15,31,125.920372,126.922336,78.481030,13.1998,13.0484,2294,438,93.1650
1,1,1,1,1,1,0,15,31,0,84.586294,84.671324,128.349755,12.8519,13.0031,2290,419,89.2731
2,1,1,1,1,1,0,15,31,0,83.808557,84.751603,128.466958,12.7959,13.1405,2291,426,89.1754
3,1,1,1,1,1,0,15,31,0,84.544493,84.645104,128.373834,12.8466,13.181,2294,426,89.2477
1,1,1,1,1,1,0,15,31,15,126.438797,85.232954,127.040220,13.3159,13.0238,2295,441,93.1900
2,1,1,1,1,1,0,15,31,15,127.014782,85.604924,126.784360,13.1903,13.2122,2293,425,93.1458
3,1,1,1,1,1,0,15,31,15,126.938613,85.471312,126.602661,13.3955,13.0977,2294,466,93.1967
1,1,1,1,1,1,0,15,31,31,131.702613,86.345140,85.509838,12.5248,13.0415,2290,463,87.0677
